Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,Daily_Return,Volatility,Target
2025-01-20,108.26,109.82,107.6,108.45,108.45,2463143,106.707,104.22,0.012699598468577822,0.014182839585656871,105.98
2025-01-21,108.57,111.5,105.92,105.98,105.98,980464,106.88400000000001,104.53099999999999,-0.02277547256800372,0.0176431755384837,107.47
2025-01-22,106.71,108.55,105.54,107.47,107.47,967883,107.01299999999999,104.84400000000001,0.014059256463483605,0.016511173720803032,107.15
2025-01-23,106.64,107.54,106.13,107.15,107.15,1604733,106.929,105.2365,-0.0029775751372475012,0.015006102917488974,107.71
2025-01-24,109.04,111.44,107.27,107.71,107.71,1751768,107.234,105.6105,0.005226318245450168,0.015050557487891273,109.12
2025-01-25,109.08,110.85,108.08,109.12,109.12,1177585,107.42699999999999,105.953,0.013090706526784901,0.015125792144489182,107.45
2025-01-26,109.28,111.73,107.45,107.45,107.45,1859609,107.38,106.3125,-0.01530425219941356,0.012244376821809034,108.15
2025-01-27,107.4,108.18,105.99,108.15,108.15,1789807,107.609,106.535,0.006514657980456029,0.010904445610191325,105.43
2025-01-28,107.11,108.21,105.19,105.43,105.43,2538391,107.4,106.66300000000001,-0.025150254276467887,0.016271621536531968,105.46
2025-01-29,106.69,109.63,104.86,105.46,105.46,2493478,107.237,106.775,0.0002845489898508635,0.015780234969558778,107.09
2025-01-30,107.25,108.16,105.43,107.09,107.09,1388346,107.101,106.904,0.015456097098426103,0.016446321063910425,109.88
2025-01-31,108.81,111.2,106.59,109.88,109.88,2173494,107.49100000000001,107.1875,0.02605285274068536,0.019270712301311166,112.19
2025-02-01,111.86,113.98,110.26,112.19,112.19,1007528,107.96300000000001,107.48800000000001,0.021022934109938163,0.020666844747851403,111.3
2025-02-02,111.18,111.84,110.63,111.3,111.3,2968096,108.378,107.65350000000001,-0.007932970853017252,0.014319391961694327,108.73
2025-02-03,110.18,110.86,108.1,108.73,108.73,631755,108.47999999999999,107.85700000000001,-0.023090745732255114,0.02095929074978644,110.26
2025-02-04,110.17,110.85,109.07,110.26,110.26,1398574,108.59400000000001,108.01050000000001,0.014071553389129132,0.020816769285319447,110.6
2025-02-05,110.42,112.73,107.71,110.6,110.6,1519204,108.90900000000002,108.1445,0.0030836205332849254,0.01757383417611307,111.1
2025-02-06,111.74,114.26,110.76,111.1,111.1,2307959,109.204,108.40649999999998,0.004520795660036159,0.014200294134250658,108.09
2025-02-07,110.52,112.05,107.86,108.09,108.09,912794,109.47,108.43499999999999,-0.027092709270926996,0.018252513613775175,104.36
2025-02-08,106.33,108.65,103.83,104.36,104.36,1303587,109.35999999999999,108.29850000000002,-0.034508280136922975,0.02141255341973385,102.45
2025-02-09,103.12,104.74,101.57,102.45,102.45,1547764,108.896,107.99849999999999,-0.018302031429666465,0.01763752611899831,104.18
2025-02-10,103.95,104.64,101.43,104.18,104.18,910658,108.326,107.9085,0.016886285993167327,0.021685420885537925,105.21
2025-02-11,102.38,105.38,99.79,105.21,105.21,1491447,107.628,107.79550000000002,0.009886734497984051,0.022793285384162712,103.95
2025-02-12,103.88,105.59,102.85,103.95,103.95,745934,106.893,107.63550000000001,-0.011976047904191489,0.020994659210528777,102.97
2025-02-13,102.61,103.12,101.13,102.97,102.97,2408443,106.31700000000001,107.39849999999998,-0.009427609427609451,0.015138636739599426,103.36
2025-02-14,102.11,104.35,99.78,103.36,103.36,2541247,105.627,107.1105,0.0037875109255123274,0.012377149177106334,101.47
2025-02-15,101.98,103.22,99.06,101.47,101.47,2774131,104.71400000000001,106.8115,-0.018285603715170295,0.011655528694763962,99.99
2025-02-16,99.71,100.99,99.08,99.99,99.99,2727704,103.603,106.40350000000001,-0.014585591800532205,0.008425545004097786,98.59
2025-02-17,98.62,101.52,97.92,98.59,98.59,2995758,102.65299999999999,106.0615,-0.014001400140013942,0.008585604903977305,99.27
2025-02-18,96.86,99.51,95.35,99.27,99.27,2889391,102.144,105.752,0.006897251242519387,0.011652762038328246,97.89
2025-02-19,98.25,100.24,96.2,97.89,97.89,2948099,101.688,105.292,-0.01390148080991227,0.010042693631034511,98.63
2025-02-20,98.15,99.44,97.0,98.63,98.63,1817782,101.133,104.7295,0.0075595055674735345,0.011721696146191929,96.5
2025-02-21,97.58,99.07,95.4,96.5,96.5,1826143,100.262,103.94500000000001,-0.021595863327587894,0.013367887916994529,99.79
2025-02-22,98.22,101.06,97.7,99.79,99.79,2861366,99.846,103.36949999999999,0.034093264248704624,0.021752165828196755,101.19
2025-02-23,101.77,102.45,100.74,101.19,101.19,1963849,99.66799999999999,102.99249999999999,0.014029461869926818,0.02232973990230655,101.94
2025-02-24,102.71,105.41,101.29,101.94,101.94,2778421,99.526,102.57650000000001,0.007411799584939205,0.019957574309863505,103.05
2025-02-25,102.75,104.78,99.78,103.05,103.05,532812,99.684,102.19899999999998,0.010888758092995943,0.019982230112465894,101.38
2025-02-26,103.72,105.61,100.89,101.38,101.38,1063257,99.82300000000001,101.713,-0.016205725376031044,0.017964835050774734,98.87
2025-02-27,100.44,103.16,98.08,98.87,98.87,1681771,99.851,101.252,-0.024758334977312946,0.017542925781784867,100.37
2025-02-28,99.29,101.58,98.28,100.37,100.37,1607228,99.961,101.0525,0.015171437240821373,0.017804822456038545,97.82
2025-03-01,100.39,101.52,97.62,97.82,97.82,2276605,99.954,100.821,-0.025405997808110148,0.019652137052756237,98.06
2025-03-02,99.14,99.75,97.81,98.06,98.06,1598720,99.897,100.515,0.0024534859946843124,0.017902792213272078,96.62
2025-03-03,96.71,98.31,94.45,96.62,96.62,969233,99.909,100.0855,-0.014684886803997488,0.017778154039259617,95.14
2025-03-04,94.92,97.63,92.16,95.14,95.14,2048604,99.44399999999999,99.64500000000001,-0.01531773959842686,0.01617416351068384,95.17
2025-03-05,95.47,96.34,94.65,95.17,95.17,667331,98.842,99.255,0.00031532478452800383,0.01170120509932737,95.87
2025-03-06,96.77,97.8,95.65,95.87,95.87,2848321,98.235,98.88050000000001,0.007355259010192405,0.010385885886635943,95.91
2025-03-07,97.41,98.93,95.36,95.91,95.91,1492948,97.521,98.60249999999999,0.00041723166788343313,0.010106935814544105,99.66
2025-03-08,97.37,100.31,94.84,99.66,99.66,603961,97.349,98.586,0.03909915545824205,0.020091172626479904,98.09
2025-03-09,98.38,101.19,95.92,98.09,98.09,1540888,97.271,98.561,-0.015753562111177954,0.020209404901869437,99.22
2025-03-10,97.16,99.63,96.39,99.22,99.22,2474217,97.15599999999999,98.5585,0.011520032623101084,0.020001887082758803,97.74
2025-03-11,98.11,100.65,96.46,97.74,97.74,1454604,97.148,98.551,-0.014916347510582573,0.022634831492318132,96.15
2025-03-12,96.63,98.78,95.13,96.15,96.15,791171,96.957,98.42699999999999,-0.01626764886433385,0.024464529280727215,97.24
2025-03-13,98.02,99.22,95.92,97.24,97.24,2749051,97.01899999999999,98.464,0.011336453458138163,0.014837075695978112,94.72
2025-03-14,96.56,97.13,93.87,94.72,94.72,2935169,96.977,98.2105,-0.025915261209378815,0.01721516362675508,96.64
2025-03-15,96.57,97.73,95.8,96.64,96.64,1815658,97.124,97.98299999999999,0.020270270270270396,0.019799998507194983,98.97
2025-03-16,96.39,99.35,95.6,98.97,98.97,1297248,97.434,97.8345,0.024110099337748325,0.022473872201184086,100.05
2025-03-17,97.99,100.26,97.49,100.05,100.05,2758431,97.84799999999998,97.6845,0.010912397696271503,0.019873674864307855,99.48
2025-03-18,100.8,103.65,98.46,99.48,99.48,2308992,97.83,97.5895,-0.0056971514242878385,0.020634725760376525,97.53
2025-03-19,97.76,99.92,96.43,97.53,97.53,1022716,97.774,97.52250000000001,-0.019601930036188153,0.018357764895153273,98.17
2025-03-20,98.41,99.66,97.14,98.17,98.17,2187789,97.66900000000001,97.4125,0.006562083461499002,0.016636465615059035,99.89
2025-03-21,98.96,100.85,97.98,99.89,99.89,2090250,97.884,97.516,0.01752062748293781,0.014722468858109914,100.0
2025-03-22,100.6,103.36,98.56,100.0,100.0,2798215,98.269,97.61300000000001,0.001101211332465768,0.013855833936628217,102.1
2025-03-23,101.33,102.59,100.3,102.1,102.1,1851611,98.75500000000001,97.887,0.020999999999999908,0.016086960495979633,102.18
2025-03-24,101.96,103.57,100.93,102.18,102.18,1211737,99.501,98.239,0.0007835455435849514,0.009376450955391764,102.75
2025-03-25,102.82,104.03,100.66,102.75,102.75,891694,100.112,98.61800000000001,0.0055783910745741405,0.009460654361215192,102.86
2025-03-26,104.02,106.4,101.84,102.86,102.86,1335211,100.501,98.9675,0.0010705596107056792,0.008669532548167517,100.68
2025-03-27,101.45,102.07,98.49,100.68,100.68,805463,100.56400000000001,99.206,-0.021193855726229782,0.015104456509245839,101.91
2025-03-28,100.5,103.22,98.56,101.91,101.91,2110522,100.807,99.3185,0.012216924910607663,0.012558206556440977,99.77
2025-03-29,101.89,103.0,99.75,99.77,99.77,947059,101.03099999999999,99.4025,-0.020998920616229988,0.015514695670841187,100.85
2025-03-30,100.88,101.93,98.37,100.85,100.85,2448463,101.299,99.48400000000001,0.010824897263706612,0.016525221685666842,98.14
2025-03-31,99.05,100.17,96.43,98.14,98.14,2448854,101.124,99.50399999999999,-0.026871591472483858,0.019072449563752324,101.53
